Model,Location,Years_old,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
Hyundai,Mumbai,3,18673,Petrol,Manual,First,18.6,1197.0,81.83,5.0,622000.0
Hyundai,Kolkata,4,11583,Petrol,Manual,First,21.1,814.0,55.2,5.0,275000.0
Mercedes-Benz,Pune,3,50000,Diesel,Automatic,First,17.9,2143.0,136.0,5.0,2500000.0
Maruti,Delhi,6,77000,Petrol,Manual,First,23.1,998.0,67.04,5.0,280000.0
Chevrolet,Mumbai,6,54890,Petrol,Manual,Second,17.8,1199.0,76.8,5.0,245000.00000000003
Honda,Pune,4,21000,Petrol,Automatic,First,19.0,1199.0,88.7,5.0,635000.0
BMW,Mumbai,11,58557,Diesel,Automatic,Third,16.07,1995.0,181.0,5.0,800000.0
Renault,Bangalore,6,70000,Diesel,Manual,First,19.01,1461.0,108.45,5.0,825000.0
Ford,Mumbai,3,16000,Petrol,Automatic,First,17.01,1499.0,110.4,5.0,595000.0
Toyota,Kochi,2,8899,Diesel,Manual,First,13.68,2393.0,147.8,7.0,1992000.0000000002
Chevrolet,Kochi,4,83629,Diesel,Manual,First,25.44,936.0,56.3,5.0,315000.0
Volkswagen,Chennai,6,35059,Petrol,Automatic,First,17.21,1798.0,189.0,4.0,575000.0
Ford,Kochi,2,30552,Diesel,Automatic,First,10.91,3198.0,197.2,7.0,3244000.0
Hyundai,Kochi,4,44875,Diesel,Automatic,Second,22.32,1582.0,126.32,5.0,801000.0
Ford,Coimbatore,3,25095,Petrol,Manual,First,18.16,1196.0,86.8,5.0,648000.0
Maruti,Jaipur,13,59000,Petrol,Manual,First,16.1,796.0,37.0,4.0,75000.0
Honda,Kolkata,6,36000,Diesel,Manual,First,26.0,1498.0,98.6,5.0,500000.0
Mahindra,Mumbai,8,37000,Diesel,Manual,First,16.0,2179.0,140.0,7.0,775000.0
Ford,Chennai,10,90000,Diesel,Manual,First,20.0,1399.0,68.0,5.0,260000.0
Ford,Pune,2,17000,Petrol,Manual,First,17.0,1497.0,121.36,5.0,919999.9999999999
Hyundai,Mumbai,5,42575,Petrol,Manual,First,18.6,1197.0,81.83,5.0,505000.0
Toyota,Hyderabad,8,131000,Diesel,Manual,First,12.99,2494.0,100.0,7.0,960000.0
Renault,Mumbai,7,74000,Diesel,Manual,First,20.46,1461.0,83.8,5.0,550000.0
Toyota,Mumbai,7,47234,Diesel,Manual,First,12.99,2494.0,100.6,8.0,935000.0
Honda,Delhi,11,231673,Petrol,Manual,First,17.0,1497.0,118.0,5.0,260000.0
Maruti,Hyderabad,4,10000,Petrol,Manual,First,24.07,998.0,67.1,5.0,350000.0
Nissan,Kochi,4,49389,Petrol,Manual,First,19.49,1198.0,67.04,5.0,426000.0
Maruti,Chennai,4,12000,Petrol,Automatic,Second,23.1,998.0,67.04,5.0,425000.0
Mercedes-Benz,Hyderabad,10,65000,Petrol,Manual,Second,11.7,1796.0,178.0,5.0,1175000.0
Ford,Chennai,7,177000,Diesel,Manual,First,23.5,1498.0,88.7,5.0,350000.0
Hyundai,Jaipur,5,89000,Petrol,Manual,First,17.01,1591.0,121.3,5.0,750000.0
Hyundai,Chennai,11,72000,Petrol,Automatic,Third,15.0,1396.0,100.0,5.0,325000.0
Maruti,Chennai,8,49000,Petrol,Manual,First,17.5,1298.0,85.8,5.0,490000.00000000006
Mercedes-Benz,Hyderabad,6,51355,Diesel,Automatic,First,14.84,2143.0,170.0,5.0,2700000.0
Hyundai,Kochi,3,13460,Petrol,Manual,First,18.6,1197.0,81.86,5.0,891000.0
Hyundai,Kochi,6,35642,Petrol,Automatic,First,17.01,1591.0,121.4,5.0,669000.0
Chevrolet,Kochi,6,52895,Diesel,Manual,First,17.3,1998.0,163.7,5.0,602000.0
Toyota,Mumbai,10,93000,Petrol,Manual,First,14.28,1798.0,138.03,5.0,450000.0
Maruti,Pune,9,70000,Petrol,Manual,First,19.0,998.0,66.1,5.0,200000.0
Nissan,Kolkata,8,32048,Diesel,Manual,First,23.08,1461.0,63.1,5.0,240000.0
Tata,Pune,7,4700,Petrol,Manual,First,25.4,624.0,37.48,4.0,120000.0
Maruti,Delhi,6,71800,Diesel,Manual,First,23.4,1248.0,74.0,5.0,290000.0
Audi,Ahmedabad,4,45000,Diesel,Automatic,First,17.32,1968.0,184.0,5.0,2700000.0
Honda,Chennai,4,15388,Diesel,Manual,First,25.8,1498.0,98.6,5.0,750000.0
Chevrolet,Mumbai,16,98798,Petrol,Manual,First,14.7,1599.0,104.0,5.0,150000.0
Audi,Hyderabad,4,43000,Diesel,Automatic,First,14.16,1968.0,174.3,5.0,3950000.0
Maruti,Hyderabad,8,85112,Diesel,Manual,First,23.2,1248.0,73.94,5.0,339000.0
Mahindra,Kochi,2,37804,Diesel,Manual,First,15.4,2179.0,120.0,7.0,1240000.0
Maruti,Chennai,6,45000,Diesel,Manual,First,28.09,1248.0,88.5,5.0,685000.0
Toyota,Pune,9,116000,Diesel,Manual,Second,21.43,1364.0,138.0,5.0,575000.0
Tata,Chennai,5,100073,Diesel,Manual,Second,25.0,1396.0,69.0,5.0,200000.0
Maruti,Jaipur,14,165000,Petrol,Manual,First,16.1,796.0,37.0,4.0,90000.0
Volkswagen,Kolkata,5,22000,Petrol,Manual,First,16.47,1198.0,74.0,5.0,380000.0
Hyundai,Delhi,3,9500,Petrol,Automatic,First,14.62,1999.0,149.92,5.0,1635000.0000000002
Toyota,Hyderabad,8,152000,Diesel,Automatic,First,11.5,2982.0,169.0,7.0,1650000.0
Maruti,Coimbatore,1,17705,Petrol,Manual,First,21.4,1197.0,83.1,5.0,869999.9999999999
Maruti,Mumbai,4,12000,Petrol,Manual,First,21.4,1197.0,83.1,5.0,610000.0
Mini,Hyderabad,7,51000,Diesel,Automatic,First,23.8,1998.0,112.0,5.0,2194000.0
Mercedes-Benz,Chennai,11,42000,Diesel,Automatic,Second,13.0,2987.0,210.0,5.0,2200000.0
Maruti,Delhi,5,51000,Petrol,Manual,First,20.92,998.0,67.1,5.0,265000.0
Maruti,Kochi,3,42527,Petrol,Manual,First,20.4,1197.0,81.8,5.0,527000.0
Chevrolet,Kolkata,6,45000,Diesel,Manual,First,22.1,1248.0,74.0,5.0,248000.0
Toyota,Kolkata,9,70000,Diesel,Manual,First,12.8,2494.0,102.0,8.0,600000.0
Toyota,Mumbai,11,92000,Diesel,Manual,First,11.5,2982.0,171.0,7.0,890000.0
BMW,Hyderabad,8,57156,Diesel,Automatic,Second,18.88,1995.0,184.0,5.0,1800000.0
Skoda,Coimbatore,4,53211,Petrol,Manual,First,16.8,1395.0,138.02,5.0,1164000.0
Toyota,Kolkata,1,80000,Diesel,Manual,First,11.5,2982.0,171.0,7.0,899000.0
Volkswagen,Bangalore,11,74000,Diesel,Automatic,First,15.5,1896.0,105.0,5.0,525000.0
Hyundai,Kolkata,9,37000,Diesel,Manual,First,23.0,1396.0,90.0,5.0,295000.0
Tata,Mumbai,7,64000,Diesel,Manual,Second,21.02,1248.0,88.76,5.0,265000.0
Volkswagen,Pune,7,57197,Petrol,Manual,First,15.04,1598.0,103.6,5.0,400000.0
Hyundai,Chennai,4,55000,Diesel,Automatic,First,17.6,1582.0,126.2,5.0,1250000.0
Maruti,Mumbai,6,33000,Petrol,Manual,First,21.1,1197.0,85.8,5.0,325000.0
Honda,Delhi,12,70000,Petrol,Manual,First,13.1,1997.0,141.1,5.0,400000.0
Mahindra,Delhi,8,75000,Diesel,Manual,Second,15.1,2179.0,140.0,7.0,625000.0
Volkswagen,Jaipur,4,58095,Diesel,Manual,First,21.66,1498.0,108.62,5.0,580000.0
Tata,Kolkata,5,7445,Petrol,Manual,First,17.57,1193.0,88.7,5.0,500000.0
Jaguar,Kochi,4,17652,Diesel,Automatic,First,12.9,2993.0,270.88,5.0,5873000.0
Toyota,Kochi,2,28321,Petrol,Automatic,First,14.28,1798.0,138.03,5.0,1748999.9999999998
Maruti,Pune,9,69000,Petrol,Manual,Second,19.0,998.0,66.1,5.0,195000.0
Honda,Mumbai,13,80000,Petrol,Automatic,First,11.1,2354.0,142.0,5.0,300000.0
Hyundai,Delhi,6,42365,Petrol,Manual,First,17.0,1197.0,80.0,5.0,550000.0
Toyota,Delhi,7,123000,Diesel,Automatic,First,12.55,2982.0,168.5,7.0,1650000.0
Mercedes-Benz,Mumbai,9,40000,Petrol,Automatic,Second,11.74,1796.0,186.0,5.0,1450000.0
Maruti,Hyderabad,4,30112,Diesel,Manual,First,27.39,1248.0,74.0,5.0,779000.0
Maruti,Kochi,3,43775,Diesel,Manual,First,20.77,1248.0,88.76,7.0,827000.0
Land,Kochi,1,26013,Diesel,Automatic,First,12.65,2993.0,255.0,5.0,9707000.0
Chevrolet,Mumbai,8,56000,Petrol,Manual,First,12.9,1598.0,102.5,5.0,215000.0
Honda,Hyderabad,12,95000,Petrol,Automatic,Second,12.9,1799.0,130.0,5.0,300000.0
BMW,Coimbatore,6,41089,Diesel,Automatic,First,16.09,1995.0,184.0,5.0,2879000.0
Skoda,Mumbai,9,41988,Diesel,Automatic,First,20.0,1968.0,138.1,5.0,545000.0
Maruti,Delhi,7,72486,Diesel,Manual,First,23.4,1248.0,74.0,5.0,395000.0
Volvo,Pune,7,92000,Diesel,Automatic,First,23.3,1984.0,150.0,5.0,1600000.0
Maruti,Delhi,7,40000,Petrol,Manual,First,17.5,1298.0,85.8,5.0,425000.0
Land,Bangalore,6,56000,Diesel,Automatic,First,12.7,2179.0,187.7,5.0,3450000.0
Honda,Mumbai,12,125000,Petrol,Automatic,Third,11.7,2354.0,177.6,5.0,260000.0
Toyota,Kochi,3,29219,Diesel,Manual,First,12.99,2494.0,100.6,8.0,1348000.0
Toyota,Hyderabad,2,39927,Diesel,Manual,First,12.55,2982.0,168.5,7.0,3210000.0
Honda,Kochi,2,38593,Petrol,Manual,First,18.7,1199.0,88.7,5.0,617000.0
Honda,Kolkata,5,32000,Petrol,Manual,First,17.0,1497.0,118.0,5.0,550000.0
Maruti,Hyderabad,3,28226,Diesel,Automatic,First,28.4,1248.0,73.75,5.0,915000.0
Nissan,Pune,6,95000,Diesel,Manual,First,21.64,1461.0,84.8,5.0,450000.0
Toyota,Chennai,6,194000,Diesel,Manual,First,12.99,2494.0,100.6,8.0,1050000.0
Honda,Coimbatore,4,14821,Petrol,Manual,First,19.4,1198.0,86.8,5.0,537000.0
Volkswagen,Bangalore,8,52000,Petrol,Manual,First,15.04,1598.0,103.6,5.0,545000.0
Mahindra,Mumbai,4,33000,Diesel,Manual,First,16.0,2179.0,140.0,7.0,925000.0
Ford,Chennai,4,29200,Diesel,Manual,First,23.0,1498.0,98.96,5.0,770000.0
Skoda,Hyderabad,8,99754,Diesel,Manual,First,17.72,1968.0,108.49,5.0,799000.0
Hyundai,Chennai,8,49000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,300000.0
Tata,Coimbatore,2,38310,Diesel,Manual,First,20.65,1248.0,88.7,5.0,669000.0
Maruti,Delhi,6,56000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,425000.0
Skoda,Kolkata,3,31300,Diesel,Automatic,First,21.72,1498.0,108.4,5.0,1050000.0
Toyota,Coimbatore,1,11241,Diesel,Manual,First,13.68,2393.0,147.8,8.0,2255000.0
Hyundai,Pune,6,48000,Petrol,Manual,Second,17.01,1591.0,121.3,5.0,520000.0
Honda,Coimbatore,1,23882,Petrol,Manual,First,17.4,1497.0,117.3,5.0,1187000.0
Honda,Hyderabad,6,65000,Diesel,Manual,First,26.0,1498.0,98.6,5.0,699000.0
Volkswagen,Jaipur,9,50000,Diesel,Manual,First,20.54,1598.0,103.6,5.0,500000.0
Audi,Chennai,6,25000,Diesel,Automatic,First,12.19,2967.0,236.0,5.0,4400000.0
Maruti,Chennai,5,21000,Petrol,Manual,First,22.74,796.0,47.3,5.0,279000.0
Tata,Pune,8,148000,Diesel,Manual,Second,21.12,1248.0,88.8,5.0,290000.0
Hyundai,Delhi,4,68000,Petrol,Manual,First,15.29,1591.0,121.3,5.0,985000.0
Mercedes-Benz,Bangalore,6,52000,Diesel,Automatic,First,12.0,2987.0,224.0,7.0,4900000.0
Mahindra,Jaipur,4,19000,Diesel,Manual,First,16.55,2498.0,105.0,6.0,925000.0
Hyundai,Mumbai,9,74000,Diesel,Manual,Second,22.32,1582.0,126.3,5.0,375000.0
Ford,Coimbatore,3,30279,Diesel,Manual,First,26.1,1498.0,99.0,5.0,729000.0
Mini,Mumbai,4,20000,Diesel,Automatic,First,20.7,1496.0,113.98,4.0,2350000.0
Maruti,Hyderabad,7,34834,Petrol,Manual,First,14.0,796.0,35.0,5.0,260000.0
Mahindra,Pune,5,90000,Diesel,Manual,Second,21.03,1461.0,65.0,5.0,310000.0
Mercedes-Benz,Coimbatore,4,38730,Diesel,Automatic,First,14.21,2143.0,203.0,5.0,2998000.0
Renault,Kochi,4,57390,Diesel,Manual,First,19.01,1461.0,108.45,5.0,673000.0
Maruti,Kolkata,4,100000,Diesel,Manual,First,23.4,1248.0,74.0,5.0,350000.0
Volkswagen,Kolkata,9,50000,Petrol,Manual,First,16.47,1198.0,73.9,5.0,235000.0
Mahindra,Coimbatore,3,64961,Diesel,Manual,First,16.0,2179.0,140.0,7.0,1613000.0
Volkswagen,Coimbatore,6,72465,Petrol,Manual,First,16.47,1198.0,74.0,5.0,590000.0
Maruti,Hyderabad,8,68776,Petrol,Manual,First,21.1,1197.0,85.8,5.0,390000.0
Toyota,Delhi,8,68000,Diesel,Manual,First,12.8,2494.0,102.0,7.0,695000.0
Honda,Delhi,5,33000,Diesel,Manual,First,26.0,1498.0,98.6,5.0,700000.0
Volkswagen,Coimbatore,3,22389,Petrol,Manual,First,17.0,1198.0,73.75,5.0,723000.0
Maruti,Mumbai,8,90000,Diesel,Manual,First,21.5,1248.0,88.8,5.0,381000.0
Maruti,Chennai,8,42000,Petrol,Manual,Third,18.6,1197.0,85.8,5.0,450000.0
Hyundai,Pune,3,38767,Diesel,Manual,First,19.67,1582.0,126.2,5.0,1260000.0
Audi,Bangalore,5,21000,Diesel,Automatic,First,12.07,2967.0,241.4,7.0,4800000.0
Maruti,Coimbatore,10,59136,Petrol,Manual,First,19.7,796.0,46.3,5.0,296000.0
Honda,Kolkata,6,36000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,325000.0
Volkswagen,Chennai,9,95000,Diesel,Automatic,Second,18.33,1968.0,167.7,5.0,850000.0
Hyundai,Mumbai,7,51000,Diesel,Automatic,First,19.5,1582.0,126.24,5.0,875000.0
Maruti,Kochi,9,36411,Petrol,Manual,First,18.9,998.0,67.1,5.0,308000.0
Land,Mumbai,3,40000,Diesel,Automatic,First,12.81,1999.0,148.31,7.0,4150000.0
Honda,Pune,4,27300,Petrol,Manual,First,17.8,1497.0,117.3,5.0,700000.0
Mercedes-Benz,Kochi,9,29813,Petrol,Automatic,Second,14.74,1991.0,181.03,5.0,1150000.0
Maruti,Pune,9,71000,Petrol,Manual,First,20.51,998.0,67.04,5.0,260000.0
Hyundai,Kolkata,6,32000,Diesel,Manual,First,22.32,1582.0,126.3,5.0,430000.0
Maruti,Mumbai,3,19234,CNG,Manual,First,17.5,1373.0,80.46,7.0,835000.0
Volkswagen,Jaipur,3,50510,Diesel,Automatic,First,17.06,1968.0,141.0,5.0,2490000.0
BMW,Pune,9,102000,Diesel,Automatic,First,15.06,1995.0,177.0,5.0,1375000.0
Hyundai,Kolkata,6,42277,Diesel,Manual,First,24.0,1186.0,73.97,5.0,385000.0
Mercedes-Benz,Mumbai,6,46000,Diesel,Automatic,First,13.0,2143.0,201.1,5.0,2325000.0
Hyundai,Bangalore,5,50000,Petrol,Manual,First,18.9,1197.0,82.0,5.0,575000.0
Hyundai,Mumbai,12,62000,Petrol,Manual,Second,20.36,1197.0,78.9,5.0,165000.0
Volkswagen,Mumbai,8,78000,Diesel,Manual,First,19.33,1968.0,138.1,5.0,650000.0
Skoda,Chennai,9,79000,Diesel,Manual,First,17.67,1968.0,138.08,5.0,750000.0
Audi,Kochi,1,6773,Diesel,Automatic,First,14.75,2967.0,245.0,7.0,7294000.0
Toyota,Chennai,10,135000,Diesel,Manual,Second,11.5,2982.0,171.0,7.0,1100000.0
Maruti,Kochi,7,36716,Petrol,Manual,First,18.9,1061.0,67.0,5.0,302000.0
Hyundai,Coimbatore,7,65060,Petrol,Manual,First,21.1,814.0,55.2,5.0,332000.0
Honda,Delhi,7,33000,Petrol,Manual,First,19.4,1198.0,86.8,5.0,324000.0
Maruti,Kolkata,5,11110,Petrol,Manual,First,22.74,796.0,47.3,5.0,235000.0
Mahindra,Jaipur,7,63000,Diesel,Manual,First,15.96,2523.0,62.1,7.0,550000.0
Honda,Mumbai,5,27030,Petrol,Manual,First,17.8,1497.0,117.3,5.0,675000.0
Skoda,Mumbai,5,19600,Petrol,Manual,First,15.0,1598.0,103.52,5.0,615000.0
Maruti,Pune,4,27755,Petrol,Manual,First,22.0,1197.0,81.8,5.0,545000.0
Hyundai,Hyderabad,7,20000,Petrol,Manual,Second,21.1,814.0,55.2,5.0,229999.99999999997
Maruti,Kochi,5,24782,Petrol,Manual,First,20.85,1197.0,83.14,5.0,621000.0
Nissan,Coimbatore,6,47303,Petrol,Automatic,First,19.34,1198.0,76.0,5.0,521000.0
Maruti,Pune,10,135000,Diesel,Manual,First,17.8,1248.0,75.0,5.0,310000.0
Tata,Jaipur,3,1000,Diesel,Manual,First,13.49,2179.0,138.03,5.0,750000.0
Volkswagen,Kolkata,4,29000,Diesel,Manual,First,20.14,1498.0,88.8,5.0,400000.0
Honda,Kochi,4,36367,Petrol,Manual,First,17.8,1497.0,117.3,5.0,773000.0
Honda,Bangalore,5,38000,Petrol,Manual,First,17.4,1497.0,117.3,5.0,780000.0
Maruti,Hyderabad,9,83969,Petrol,Manual,First,16.1,796.0,37.0,4.0,130000.0
Volkswagen,Jaipur,6,82621,Diesel,Manual,First,20.14,1498.0,88.8,5.0,442000.0
Chevrolet,Pune,11,89000,Diesel,Automatic,First,12.5,1991.0,147.9,7.0,400000.0
Mahindra,Kolkata,4,54000,Diesel,Manual,First,16.0,2179.0,140.0,7.0,1300000.0
Honda,Kochi,5,61691,Diesel,Manual,First,25.8,1498.0,98.6,5.0,538000.0
Hyundai,Chennai,9,32200,Petrol,Manual,Second,17.0,1197.0,80.0,5.0,325000.0
Maruti,Jaipur,4,68630,Petrol,Automatic,First,20.51,998.0,67.0,5.0,387000.0
Volkswagen,Mumbai,6,61000,Diesel,Automatic,Second,16.96,1968.0,138.03,5.0,825000.0
Maruti,Mumbai,2,32644,Petrol,Manual,First,20.73,1373.0,91.1,5.0,927999.9999999999
Mahindra,Delhi,8,85000,Diesel,Automatic,First,11.79,2179.0,120.0,7.0,625000.0
Chevrolet,Mumbai,12,75000,Petrol,Manual,Second,15.26,1150.0,74.9,5.0,114999.99999999999
Maruti,Kochi,4,40347,Petrol,Manual,First,20.73,1373.0,91.2,5.0,780000.0
Hyundai,Hyderabad,8,60788,Diesel,Manual,First,23.0,1396.0,90.0,5.0,450000.0
Honda,Kochi,2,18664,Petrol,Manual,First,18.7,1199.0,88.7,5.0,756000.0
Mahindra,Coimbatore,3,57847,Diesel,Manual,First,16.0,2179.0,140.0,7.0,1607999.9999999998
Hyundai,Bangalore,8,52237,Petrol,Manual,First,17.0,1197.0,80.0,5.0,450000.0
Hyundai,Chennai,8,128000,Diesel,Manual,First,22.32,1582.0,126.32,5.0,500000.0
Hyundai,Delhi,9,54000,Petrol,Manual,First,19.81,1086.0,68.05,5.0,220000.00000000003
Maruti,Bangalore,6,49800,Petrol,Automatic,First,23.1,998.0,67.04,5.0,400000.0
Skoda,Kolkata,8,98000,Diesel,Manual,First,20.86,1199.0,73.9,5.0,250999.99999999997
Maruti,Delhi,5,60095,Diesel,Manual,First,25.2,1248.0,74.0,5.0,475000.0
Hyundai,Pune,12,68000,Petrol,Manual,Second,16.0,1086.0,66.7,5.0,200000.0
Hyundai,Jaipur,10,81402,Petrol,Manual,Second,20.36,1197.0,78.9,5.0,210000.0
Ford,Mumbai,7,38000,Petrol,Automatic,First,16.5,1499.0,110.0,5.0,625000.0
Mercedes-Benz,Kochi,9,92239,Diesel,Automatic,Second,11.5,2987.0,210.0,5.0,1060000.0
Maruti,Ahmedabad,3,49224,Diesel,Manual,First,25.2,1248.0,74.0,5.0,600000.0
Maruti,Jaipur,16,12000,Petrol,Manual,Second,16.1,796.0,37.0,4.0,45000.0
Maruti,Pune,10,54898,Petrol,Manual,Third,16.1,1298.0,88.2,5.0,250000.0
Hyundai,Mumbai,2,2500,Petrol,Manual,First,15.29,1591.0,121.3,5.0,1275000.0
BMW,Kochi,3,32838,Diesel,Automatic,First,17.05,1995.0,190.0,5.0,3029000.0
Ford,Hyderabad,14,27076,Petrol,Manual,First,13.8,1299.0,70.0,5.0,160000.0
Ford,Kochi,3,75445,Diesel,Manual,First,22.7,1498.0,89.84,5.0,754000.0
Maruti,Kochi,5,46601,Petrol,Manual,First,20.73,1373.0,91.1,5.0,684000.0
Volkswagen,Kolkata,8,72000,Diesel,Automatic,First,18.33,1968.0,167.7,5.0,600000.0
Honda,Pune,3,27000,Diesel,Manual,First,27.3,1498.0,98.6,5.0,800000.0
Audi,Coimbatore,4,68193,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,2474000.0
Hyundai,Kochi,3,34429,Diesel,Manual,First,24.0,1120.0,70.0,5.0,550000.0
Mercedes-Benz,Delhi,7,46000,Diesel,Automatic,First,12.0,2987.0,224.0,7.0,3600000.0
Toyota,Coimbatore,7,80544,Diesel,Manual,First,12.99,2494.0,100.6,7.0,1179000.0
Nissan,Jaipur,9,42000,Petrol,Manual,Second,16.95,1498.0,97.7,5.0,300000.0
Skoda,Bangalore,9,94821,Diesel,Automatic,Second,20.0,1968.0,138.1,5.0,675000.0
Chevrolet,Jaipur,14,100000,Petrol,Manual,First,14.49,1399.0,92.7,5.0,140000.0
Honda,Mumbai,6,57000,Diesel,Manual,First,24.2,1498.0,98.6,7.0,575000.0
Maruti,Hyderabad,10,79894,Diesel,Manual,First,21.1,1248.0,73.9,5.0,340000.0
Volkswagen,Coimbatore,9,44748,Petrol,Manual,Second,16.47,1198.0,73.9,5.0,488999.99999999994
Nissan,Mumbai,7,31000,Petrol,Manual,First,13.24,1598.0,102.5,5.0,495000.0
Maruti,Coimbatore,7,60587,Petrol,Automatic,Second,16.98,998.0,66.1,5.0,349000.0
Honda,Pune,6,43772,Petrol,Manual,First,17.0,1497.0,118.0,5.0,635000.0
Hyundai,Coimbatore,3,23576,Petrol,Automatic,First,18.9,1197.0,82.0,5.0,708000.0
Jaguar,Hyderabad,3,4000,Diesel,Automatic,First,13.6,1999.0,177.0,5.0,3800000.0
Mahindra,Kolkata,8,62000,Diesel,Manual,First,12.05,2179.0,120.0,8.0,625000.0
Mercedes-Benz,Mumbai,9,36000,Petrol,Automatic,First,11.74,1796.0,186.0,5.0,1015000.0
Skoda,Delhi,6,80000,Petrol,Automatic,First,13.7,1798.0,157.75,5.0,1075000.0
Chevrolet,Pune,8,137008,Diesel,Automatic,First,18.1,1991.0,147.9,4.0,465000.00000000006
Mahindra,Delhi,10,61001,Diesel,Manual,First,12.05,2179.0,120.0,8.0,475000.0
Hyundai,Coimbatore,5,52191,Petrol,Manual,First,17.1,1591.0,121.3,5.0,778000.0
Hyundai,Hyderabad,4,77076,Diesel,Manual,First,23.0,1396.0,90.0,5.0,675000.0
Honda,Hyderabad,12,56000,Petrol,Automatic,First,16.4,1497.0,78.0,5.0,299000.0
Hyundai,Kolkata,7,21000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,235000.0
Honda,Delhi,7,89429,Diesel,Manual,First,25.8,1498.0,98.6,5.0,365000.0
Maruti,Delhi,8,45631,Petrol,Manual,Second,22.5,998.0,67.04,5.0,274000.0
Honda,Jaipur,7,53959,Petrol,Manual,First,19.4,1198.0,86.8,5.0,350000.0
Hyundai,Kochi,6,55804,Petrol,Manual,First,17.0,1197.0,80.0,5.0,476000.0
Volkswagen,Kochi,4,25899,Petrol,Manual,First,15.04,1598.0,103.2,5.0,620000.0
Skoda,Pune,12,82000,Diesel,Manual,Second,18.7,1896.0,66.0,5.0,235000.0
Mercedes-Benz,Mumbai,6,52000,Diesel,Automatic,First,13.0,2143.0,204.0,5.0,2450000.0
Renault,Pune,7,20000,Petrol,Manual,First,13.24,1598.0,102.57,5.0,600000.0
Hyundai,Hyderabad,3,31829,Petrol,Manual,First,21.1,814.0,55.2,5.0,365000.0
Maruti,Coimbatore,4,18094,Petrol,Manual,Second,18.6,1197.0,85.8,5.0,626000.0
Audi,Mumbai,5,11964,Diesel,Automatic,First,13.22,2967.0,241.4,5.0,3295000.0000000005
Hyundai,Coimbatore,2,22684,Petrol,Manual,First,18.6,1197.0,81.83,5.0,780000.0
Honda,Bangalore,6,43521,Petrol,Manual,First,19.4,1198.0,86.8,5.0,425000.0
Maruti,Kochi,6,49386,Petrol,Manual,First,17.5,1298.0,85.8,5.0,486000.00000000006
Hyundai,Delhi,3,12248,Petrol,Manual,First,18.9,1197.0,81.86,5.0,490000.00000000006
Mahindra,Coimbatore,6,67771,Diesel,Manual,First,11.68,2498.0,112.0,8.0,706000.0
Volkswagen,Delhi,5,60007,Petrol,Automatic,First,17.21,1798.0,189.0,4.0,450000.0
Maruti,Coimbatore,9,48624,Petrol,Manual,First,24.07,998.0,67.1,5.0,322000.0
Volkswagen,Kolkata,6,30000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,325000.0
Hyundai,Delhi,4,81605,Petrol,Manual,First,18.9,1197.0,82.0,5.0,453000.0
Mercedes-Benz,Coimbatore,3,32642,Diesel,Automatic,First,14.84,2143.0,170.0,5.0,3478000.0
Hyundai,Pune,6,34200,Petrol,Automatic,First,15.74,1591.0,121.3,5.0,650000.0
Fiat,Chennai,10,72204,Petrol,Manual,First,15.7,1172.0,67.0,5.0,225000.0
Toyota,Pune,9,156347,Diesel,Manual,Second,12.99,2494.0,100.0,8.0,800000.0
Mahindra,Kochi,3,47357,Diesel,Automatic,First,18.49,1493.0,100.0,7.0,836999.9999999999
Volkswagen,Coimbatore,5,61738,Diesel,Manual,First,20.14,1498.0,88.8,5.0,539000.0
BMW,Kochi,2,32586,Diesel,Automatic,First,22.48,1995.0,190.0,5.0,3729999.9999999995
Mercedes-Benz,Coimbatore,2,40129,Diesel,Automatic,First,11.57,2987.0,254.79,5.0,7080000.0
Mercedes-Benz,Mumbai,8,51000,Diesel,Automatic,First,11.74,2987.0,254.8,5.0,2225000.0
Hyundai,Kochi,2,10393,Petrol,Manual,First,18.9,1197.0,81.86,5.0,603000.0
Skoda,Mumbai,9,46000,Petrol,Automatic,First,13.7,1798.0,157.75,5.0,490000.00000000006
Hyundai,Chennai,7,21000,Petrol,Automatic,First,16.95,1197.0,78.9,5.0,396000.0
Hyundai,Hyderabad,9,113562,Diesel,Manual,First,23.0,1396.0,90.0,5.0,459999.99999999994
Mahindra,Mumbai,9,100010,Diesel,Manual,Second,12.05,2179.0,120.0,8.0,550000.0
Honda,Mumbai,7,63107,Petrol,Manual,First,19.4,1198.0,86.8,5.0,325000.0
Hyundai,Jaipur,3,58500,Petrol,Manual,First,18.6,1197.0,81.83,5.0,625000.0
Ford,Pune,13,90000,Diesel,Manual,Fourth & Above,10.9,2499.0,143.0,7.0,300000.0
Hyundai,Chennai,9,108242,Diesel,Manual,First,16.8,1493.0,110.0,5.0,425000.0
Toyota,Pune,9,146300,Diesel,Manual,First,11.5,2982.0,171.0,7.0,1225000.0
BMW,Pune,9,62943,Diesel,Automatic,Second,17.05,1995.0,184.0,5.0,1095000.0
